CustomerID,Lookalikes
C0001,"[('C0107', 0.9893604766330638), ('C0137', 0.9878292096193325), ('C0184', 0.9876079671017255)]"
C0002,"[('C0088', 0.9960799027166513), ('C0142', 0.9880923329674087), ('C0159', 0.9724892749553516)]"
C0003,"[('C0147', 0.9942553453615234), ('C0190', 0.9922568323507015), ('C0174', 0.9513814710559159)]"
C0004,"[('C0113', 0.9939871237922757), ('C0165', 0.9840419868265131), ('C0169', 0.9809547756739331)]"
C0005,"[('C0186', 0.9969474860655397), ('C0159', 0.9964337459608771), ('C0140', 0.9912390418101863)]"
C0006,"[('C0048', 0.9827267444491761), ('C0187', 0.9790254134285984), ('C0126', 0.9784805496644816)]"
C0007,"[('C0146', 0.9999942326269694), ('C0178', 0.9943155489448706), ('C0177', 0.9933851804104622)]"
C0008,"[('C0018', 0.9643422638414468), ('C0109', 0.9291303508477046), ('C0068', 0.9281481709941513)]"
C0009,"[('C0198', 0.9999780423996943), ('C0014', 0.9974002058219641), ('C0063', 0.9958622307885168)]"
C0010,"[('C0019', 0.9788256340029626), ('C0073', 0.9626769551327019), ('C0166', 0.9611193158877742)]"
C0011,"[('C0107', 0.9853606554488958), ('C0048', 0.9852861628443024), ('C0001', 0.9663166359734023)]"
C0012,"[('C0148', 0.9929169533148446), ('C0163', 0.9915960431261925), ('C0102', 0.9867908178190536)]"
C0013,"[('C0163', 0.99427292671185), ('C0148', 0.9928099587881469), ('C0155', 0.9921510839655094)]"
C0014,"[('C0060', 0.9993553678795826), ('C0009', 0.9974002058219641), ('C0198', 0.9969528649006835)]"
C0015,"[('C0020', 0.9991374625732345), ('C0058', 0.9940259476464237), ('C0033', 0.9916321021432223)]"
C0016,"[('C0154', 0.9870496223390064), ('C0185', 0.9678489302990053), ('C0183', 0.9572064481761354)]"
C0017,"[('C0124', 0.9866640112793039), ('C0075', 0.9712749859881253), ('C0041', 0.9656674274956154)]"
C0018,"[('C0122', 0.9884795107249386), ('C0046', 0.9791740834299512), ('C0008', 0.9643422638414468)]"
C0019,"[('C0166', 0.9964995015585066), ('C0073', 0.9928399905849354), ('C0172', 0.9923508325127223)]"
C0020,"[('C0015', 0.9991374625732345), ('C0058', 0.9976862677613333), ('C0033', 0.9947343680437851)]"
C0021,"[('C0138', 0.9989270812794867), ('C0093', 0.9830656234720834), ('C0200', 0.9823406269456033)]"
C0022,"[('C0200', 0.993297638267822), ('C0090', 0.9652538886808827), ('C0021', 0.9644816713128389)]"
C0023,"[('C0100', 0.9988674927091195), ('C0170', 0.9891147792566852), ('C0051', 0.9757504312784414)]"
C0024,"[('C0194', 0.9919769795891342), ('C0139', 0.9864125315240911), ('C0067', 0.9720132507676333)]"
